"","geneid","SRR1177981","SRR1177982","SRR1177983","SRR1178008","SRR1178009","SRR1178010","SRR1178014","SRR1178021","SRR1178047"
"15710","NM_001037316","0","0","0","0","0","0","0","0","0"
"15711","NM_001037315","0","0","0","0","0","0","0","0","0"
"15712","NM_001024772","57","37","63","123","98","78","102","107","144"
"15713","NM_001113357","0","0","2","0","0","0","0","0","0"
"15714","NM_001106080","0","0","0","0","0","0","0","0","0"
"15715","NM_001169102","45","45","46","109","91","90","168","213","337"
"15716","NM_001014141","376","453","404","385","622","451","501","642","728"
"15717","NM_080886","2834","3009","2523","2942","372","780","7431","2096","2072"
"15718","NM_013128","2","0","2","0","2","0","2","0","0"
"15719","NM_001109110","0","0","0","0","0","2","0","0","0"
"15720","NM_182672","290","297","260","312","272","309","331","441","377"
"15721","NM_001169105","117","129","116","117","96","117","156","188","282"
"15722","NM_001012049","108","44","117","68","42","40","135","123","91"
"15723","NM_017193","5403","5032","4665","2703","3770","2522","4282","2572","2324"
"15724","NM_017187","40","48","39","20","34","34","34","60","22"
"15725","NM_033499","0","0","0","0","0","0","0","0","0"
"15726","NM_022696","65","54","54","37","35","51","26","48","33"
"15727","NM_001037181","243","290","177","373","295","405","349","427","484"
"15728","NM_001012050","490","455","409","554","693","682","898","823","731"
"15729","NM_024390","22","28","26","46","4","0","39","20","12"
"15730","NM_012963","84","108","104","100","90","104","30","117","108"
"15731","NM_001044247","6","17","8","1","0","13","27","19","17"
"15732","NM_001191073","1030","930","1237","879","869","1687","1356","2225","1806"
"15733","NM_001031641","564","599","376","587","530","415","975","953","1048"
"15734","NM_001013882","0","0","0","0","0","0","2","0","0"
"15735","NM_001161512","1","0","0","0","0","0","3","3","5"
"15736","NM_001110143","0","2","0","0","0","0","0","0","0"
"15737","NM_001110144","0","0","0","0","0","0","0","0","2"
"15738","NM_001106083","222","294","261","187","227","216","257","381","294"
"15739","NM_001014000","336","504","414","357","556","692","565","661","746"
"15740","NM_001034994","740","826","947","774","1150","1293","1078","1607","1273"
"15741","NM_001047086","447","620","510","556","448","354","520","595","606"
"15742","NM_001025673","21","31","26","19","6","7","17","23","50"
"15743","NM_012922","784","982","1017","632","459","817","1778","1792","1585"
"15744","NM_012820","50553","52145","46906","47022","14740","11857","42159","22428","12777"
"15745","NM_053515","148","150","120","200","102","100","198","248","410"
"15746","NM_001014001","150","133","172","171","155","193","173","241","214"
"15747","NM_001017443","4","0","4","4","0","2","0","2","4"
"15748","NM_053650","2","10","12","3","19","4","0","14","9"
"15749","NM_001014142","653","668","569","775","566","922","1093","1342","1520"
"15750","NM_001108400","18","15","17","29","123","85","25","91","96"
"15751","NM_198791","451","386","424","706","308","313","435","668","745"
"15752","NM_001047848","4204","4659","3761","2740","4293","3403","1820","1325","1123"
